Team Name,Record,Pts,Pts/game
 
Carolina,33-10-7,73,1.46
Florida,33-14-5,71,1.37
Tampa Bay,34-14-2,70,1.4
Nashville,27-22-2,56,1.1
Dallas,21-17-12,54,1.08
Chicago,22-22-6,50,1.0
Detroit,17-26-9,43,0.83
Columbus,16-25-10,42,0.82
 
Pittsburgh,33-15-3,69,1.35
Washington,32-13-5,69,1.38
NY Islanders,30-15-5,65,1.3
Boston,29-14-6,64,1.31
NY Rangers,26-19-6,58,1.14
Philadelphia,22-21-7,51,1.02
New Jersey,16-27-7,39,0.78
Buffalo,13-31-7,33,0.65
 
Toronto,32-13-5,69,1.38
Edmonton,29-17-2,60,1.25
Winnipeg,27-20-3,57,1.14
Montreal,22-18-9,53,1.08
Calgary,22-24-3,47,0.96
Ottawa,19-27-4,42,0.84
Vancouver,19-22-3,41,0.93
 
Vegas,35-12-2,72,1.47
Colorado,32-12-4,68,1.42
Minnesota,31-14-4,66,1.35
St. Louis,23-19-6,52,1.08
Arizona,22-24-5,49,0.96
San Jose,20-25-5,45,0.9
Los Angeles,19-23-6,44,0.92
Anaheim,15-29-7,37,0.73
