Team Name,Record,Pts,Pts/game
 
Carolina,31-10-6,68,1.45
Florida,31-13-5,67,1.37
Tampa Bay,31-14-2,64,1.36
Nashville,26-21-2,54,1.1
Dallas,20-15-12,52,1.11
Chicago,22-21-5,49,1.02
Detroit,17-25-8,42,0.84
Columbus,15-25-9,39,0.8
 
Washington,31-13-4,66,1.38
Pittsburgh,31-14-3,65,1.35
NY Islanders,29-14-5,63,1.31
Boston,27-13-6,60,1.3
NY Rangers,24-18-6,54,1.12
Philadelphia,21-19-7,49,1.04
New Jersey,14-27-6,34,0.72
Buffalo,13-28-7,33,0.69
 
Toronto,30-13-5,65,1.35
Winnipeg,27-17-3,57,1.21
Edmonton,27-16-2,56,1.24
Montreal,20-17-9,49,1.07
Calgary,21-23-3,45,0.96
Vancouver,19-19-3,41,1.0
Ottawa,17-27-4,38,0.79
 
Vegas,34-11-2,70,1.49
Colorado,31-10-4,66,1.47
Minnesota,31-13-3,65,1.38
Arizona,21-22-5,47,0.98
St. Louis,20-19-6,46,1.02
San Jose,18-24-5,41,0.87
Los Angeles,17-22-6,40,0.89
Anaheim,14-27-7,35,0.73
