Team Name,Record,Pts,Pts/game
 
Carolina,35-10-7,77,1.48
Florida,35-14-5,75,1.39
Tampa Bay,35-14-3,73,1.4
Nashville,29-22-2,60,1.13
Dallas,21-17-14,56,1.08
Chicago,22-24-6,50,0.96
Detroit,18-27-9,45,0.83
Columbus,16-25-12,44,0.83
 
Pittsburgh,34-16-3,71,1.34
Washington,33-14-5,71,1.37
Boston,31-14-6,68,1.33
NY Islanders,31-16-5,67,1.29
NY Rangers,26-21-6,58,1.09
Philadelphia,23-22-7,53,1.02
New Jersey,17-28-7,41,0.79
Buffalo,14-32-7,35,0.66
 
Toronto,33-13-6,72,1.38
Edmonton,31-17-2,64,1.28
Montreal,24-18-9,57,1.12
Winnipeg,27-21-3,57,1.12
Calgary,22-25-3,47,0.94
Ottawa,20-27-5,45,0.87
Vancouver,19-24-3,41,0.89
 
Vegas,36-13-2,74,1.45
Colorado,34-12-4,72,1.44
Minnesota,33-14-4,70,1.37
St. Louis,24-19-7,55,1.1
Arizona,22-25-6,50,0.94
Los Angeles,20-24-6,46,0.92
San Jose,20-26-6,46,0.88
Anaheim,16-30-7,39,0.74
