Team Name,Record,Pts,Pts/game
 
Florida,19-5-4,42,1.5
Tampa Bay,20-6-2,42,1.5
Carolina,20-7-1,41,1.46
Chicago,14-11-5,33,1.1
Columbus,11-12-7,29,0.97
Dallas,9-9-7,25,1.0
Nashville,12-16-1,25,0.86
Detroit,9-17-4,22,0.73
 
NY Islanders,19-7-4,42,1.4
Washington,19-6-4,42,1.45
Pittsburgh,18-10-1,37,1.28
Boston,15-8-4,34,1.26
Philadelphia,14-9-3,31,1.19
NY Rangers,11-12-4,26,0.96
New Jersey,9-13-4,22,0.85
Buffalo,6-18-4,16,0.57
 
Toronto,19-9-2,40,1.33
Edmonton,18-13-0,36,1.16
Winnipeg,17-9-2,36,1.29
Montreal,13-8-7,33,1.18
Calgary,14-12-3,31,1.07
Vancouver,14-16-2,30,0.94
Ottawa,10-20-2,22,0.69
 
Vegas,19-6-1,39,1.5
Minnesota,18-8-1,37,1.37
Colorado,17-8-2,36,1.33
St. Louis,14-9-5,33,1.18
Arizona,12-13-4,28,0.97
Los Angeles,11-10-6,28,1.04
San Jose,11-12-3,25,0.96
Anaheim,8-16-6,22,0.73
