Team Name,Record,Pts,Pts/game
 
Carolina,36-11-8,80,1.45
Florida,36-14-5,77,1.4
Tampa Bay,36-16-3,75,1.36
Nashville,30-23-2,62,1.13
Dallas,22-19-14,58,1.05
Chicago,24-25-6,54,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Pittsburgh,37-16-3,77,1.38
Washington,35-15-5,75,1.36
Boston,32-15-7,71,1.31
NY Islanders,32-17-6,70,1.27
NY Rangers,27-23-6,60,1.07
Philadelphia,24-23-8,56,1.02
New Jersey,19-29-7,45,0.82
Buffalo,15-34-7,37,0.66
 
Toronto,35-13-6,76,1.41
Edmonton,33-18-2,68,1.28
Winnipeg,28-22-3,59,1.11
Montreal,24-21-9,57,1.06
Calgary,23-26-3,49,0.94
Ottawa,22-28-5,49,0.89
Vancouver,20-26-3,43,0.88
 
Vegas,39-13-2,80,1.48
Colorado,36-13-4,76,1.43
Minnesota,35-14-5,75,1.39
St. Louis,24-20-9,57,1.08
Arizona,24-26-6,54,0.96
San Jose,21-27-7,49,0.89
Los Angeles,21-26-6,48,0.91
Anaheim,17-30-9,43,0.77
