Team Name,Record,Pts,Pts/game
 
Carolina,36-12-8,80,1.43
Florida,37-14-5,79,1.41
Tampa Bay,36-17-3,75,1.34
Nashville,31-23-2,64,1.14
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Pittsburgh,37-16-3,77,1.38
Washington,36-15-5,77,1.38
Boston,33-16-7,73,1.3
NY Islanders,32-17-7,71,1.27
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,35-14-7,77,1.38
Edmonton,35-18-2,72,1.31
Winnipeg,30-23-3,63,1.12
Montreal,24-21-11,59,1.05
Calgary,24-26-3,51,0.96
Ottawa,23-28-5,51,0.91
Vancouver,21-28-3,45,0.87
 
Colorado,39-13-4,82,1.46
Vegas,40-14-2,82,1.46
Minnesota,35-16-5,75,1.34
St. Louis,27-20-9,63,1.12
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
