Team Name,Record,Pts,Pts/game
 
Carolina,30-10-5,65,1.44
Florida,30-12-5,65,1.38
Tampa Bay,30-14-2,62,1.35
Nashville,25-21-2,52,1.08
Dallas,19-14-12,50,1.11
Chicago,22-20-5,49,1.04
Columbus,15-24-9,39,0.81
Detroit,16-25-7,39,0.81
 
NY Islanders,29-13-4,62,1.35
Washington,29-13-4,62,1.35
Pittsburgh,29-14-3,61,1.33
Boston,26-12-6,58,1.32
NY Rangers,23-17-6,52,1.13
Philadelphia,20-18-7,47,1.04
New Jersey,14-25-6,34,0.76
Buffalo,12-27-7,31,0.67
 
Toronto,28-13-5,61,1.33
Winnipeg,27-15-3,57,1.27
Edmonton,27-16-2,56,1.24
Montreal,20-15-9,49,1.11
Calgary,19-23-3,41,0.91
Vancouver,18-18-3,39,1.0
Ottawa,16-26-4,36,0.78
 
Vegas,33-11-2,68,1.48
Colorado,30-9-4,64,1.49
Minnesota,29-13-3,61,1.36
Arizona,20-22-5,45,0.96
St. Louis,19-18-6,44,1.02
San Jose,18-23-5,41,0.89
Los Angeles,17-20-6,40,0.93
Anaheim,14-26-7,35,0.74
