Team Name,Record,Pts,Pts/game
 
Florida,15-4-4,34,1.48
Tampa Bay,16-4-2,34,1.55
Carolina,16-6-1,33,1.43
Chicago,13-7-5,31,1.24
Columbus,10-11-5,25,0.96
Nashville,10-14-0,20,0.83
Dallas,7-8-4,18,0.95
Detroit,7-16-3,17,0.65
 
NY Islanders,14-6-4,32,1.33
Washington,13-6-4,30,1.3
Boston,13-5-3,29,1.38
Philadelphia,12-6-3,27,1.29
Pittsburgh,13-9-1,27,1.17
NY Rangers,10-9-3,23,1.05
New Jersey,7-11-2,16,0.8
Buffalo,6-13-3,15,0.68
 
Toronto,18-6-2,38,1.46
Winnipeg,15-8-1,31,1.29
Edmonton,15-11-0,30,1.15
Montreal,11-6-6,28,1.22
Calgary,11-12-2,24,0.96
Vancouver,11-15-2,24,0.86
Ottawa,8-17-1,17,0.65
 
Vegas,16-4-1,33,1.57
St. Louis,14-8-3,31,1.24
Colorado,13-7-2,28,1.27
Minnesota,13-8-1,27,1.23
Arizona,11-10-3,25,1.04
Los Angeles,10-8-5,25,1.09
Anaheim,7-12-6,20,0.8
San Jose,8-11-3,19,0.86
