Team Name,Record,Pts,Pts/game
 
Carolina,36-10-8,80,1.48
Florida,35-14-5,75,1.39
Tampa Bay,36-15-3,75,1.39
Nashville,29-23-2,60,1.11
Dallas,22-18-14,58,1.07
Chicago,23-25-6,52,0.96
Detroit,19-27-9,47,0.85
Columbus,17-26-12,46,0.84
 
Pittsburgh,36-16-3,75,1.36
Washington,34-15-5,73,1.35
Boston,32-14-7,71,1.34
NY Islanders,31-17-6,68,1.26
NY Rangers,26-23-6,58,1.05
Philadelphia,24-23-7,55,1.02
New Jersey,19-28-7,45,0.83
Buffalo,15-33-7,37,0.67
 
Toronto,34-13-6,74,1.4
Edmonton,32-18-2,66,1.27
Winnipeg,28-21-3,59,1.13
Montreal,24-20-9,57,1.08
Calgary,22-26-3,47,0.92
Ottawa,21-27-5,47,0.89
Vancouver,20-25-3,43,0.9
 
Vegas,38-13-2,78,1.47
Colorado,35-13-4,74,1.42
Minnesota,34-14-5,73,1.38
St. Louis,24-19-9,57,1.1
Arizona,23-26-6,52,0.95
Los Angeles,21-25-6,48,0.92
San Jose,21-27-6,48,0.89
Anaheim,17-30-8,42,0.76
