Team Name,Record,Pts,Pts/game
 
Carolina,37-12-8,82,1.44
Florida,37-15-5,79,1.39
Tampa Bay,37-17-3,77,1.35
Nashville,31-24-2,64,1.12
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Washington,37-15-6,80,1.38
Pittsburgh,37-16-4,78,1.37
Boston,34-16-8,76,1.31
NY Islanders,33-17-7,73,1.28
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,35-14-7,77,1.38
Edmonton,35-19-2,72,1.29
Winnipeg,30-23-3,63,1.12
Montreal,24-21-11,59,1.05
Calgary,25-26-3,53,0.98
Ottawa,23-28-5,51,0.91
Vancouver,22-28-4,48,0.89
 
Colorado,40-13-4,84,1.47
Vegas,40-14-3,83,1.46
Minnesota,36-16-5,77,1.35
St. Louis,27-21-9,63,1.11
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
