Team Name,Record,Pts,Pts/game
 
Florida,26-10-4,56,1.4
Carolina,26-9-3,55,1.45
Tampa Bay,26-11-2,54,1.38
Nashville,21-18-1,43,1.07
Chicago,18-17-5,41,1.02
Columbus,15-18-8,38,0.93
Dallas,13-14-10,36,0.97
Detroit,13-22-6,32,0.78
 
NY Islanders,25-10-4,54,1.38
Washington,25-10-4,54,1.38
Pittsburgh,24-13-2,50,1.28
Boston,20-10-6,46,1.28
NY Rangers,18-15-5,41,1.08
Philadelphia,18-15-5,41,1.08
New Jersey,13-18-6,32,0.86
Buffalo,9-23-6,24,0.63
 
Toronto,26-10-3,55,1.41
Winnipeg,23-13-3,49,1.26
Edmonton,23-14-2,48,1.23
Montreal,17-9-9,43,1.23
Calgary,16-21-3,35,0.88
Vancouver,16-18-3,35,0.95
Ottawa,13-22-4,30,0.77
 
Colorado,26-8-4,56,1.47
Vegas,25-10-2,52,1.41
Minnesota,23-12-2,48,1.3
Arizona,19-15-5,43,1.1
San Jose,17-17-4,38,1.0
St. Louis,16-16-6,38,1.0
Los Angeles,14-17-6,34,0.92
Anaheim,12-21-7,31,0.78
