Team Name,Record,Pts,Pts/game
 
Carolina,27-10-4,58,1.41
Florida,27-12-4,58,1.35
Tampa Bay,28-12-2,58,1.38
Nashville,24-19-1,49,1.11
Chicago,20-18-5,45,1.05
Dallas,15-14-12,42,1.02
Columbus,15-20-9,39,0.89
Detroit,15-23-6,36,0.82
 
Washington,28-11-4,60,1.4
NY Islanders,27-11-4,58,1.38
Pittsburgh,27-13-2,56,1.33
Boston,22-12-6,50,1.25
NY Rangers,20-16-6,46,1.1
Philadelphia,19-17-6,44,1.05
New Jersey,14-21-6,34,0.83
Buffalo,10-25-7,27,0.64
 
Toronto,28-11-4,60,1.4
Winnipeg,25-14-3,53,1.26
Edmonton,25-15-2,52,1.24
Montreal,18-12-9,45,1.15
Calgary,18-21-3,39,0.93
Vancouver,16-18-3,35,0.95
Ottawa,14-25-4,32,0.74
 
Colorado,29-9-4,62,1.48
Vegas,28-11-2,58,1.41
Minnesota,24-13-3,51,1.27
St. Louis,19-16-6,44,1.07
Arizona,19-19-5,43,1.0
San Jose,18-19-4,40,0.98
Los Angeles,16-19-6,38,0.93
Anaheim,13-23-7,33,0.77
