Team Name,Record,Pts,Pts/game
 
Carolina,28-10-4,60,1.43
Tampa Bay,29-12-2,60,1.4
Florida,27-12-5,59,1.34
Nashville,24-20-1,49,1.09
Chicago,20-19-5,45,1.02
Dallas,16-14-12,44,1.05
Columbus,15-21-9,39,0.87
Detroit,16-23-6,38,0.84
 
Washington,28-12-4,60,1.36
NY Islanders,27-12-4,58,1.35
Pittsburgh,27-13-3,57,1.33
Boston,23-12-6,52,1.27
NY Rangers,21-16-6,48,1.12
Philadelphia,20-17-6,46,1.07
New Jersey,14-22-6,34,0.81
Buffalo,11-25-7,29,0.67
 
Toronto,28-12-4,60,1.36
Winnipeg,27-14-3,57,1.3
Edmonton,25-15-2,52,1.24
Montreal,18-13-9,45,1.12
Calgary,19-21-3,41,0.95
Vancouver,16-18-3,35,0.95
Ottawa,14-26-4,32,0.73
 
Colorado,30-9-4,64,1.49
Vegas,29-11-2,60,1.43
Minnesota,25-13-3,53,1.29
St. Louis,19-17-6,44,1.05
Arizona,19-20-5,43,0.98
San Jose,18-20-4,40,0.95
Los Angeles,16-20-6,38,0.9
Anaheim,14-23-7,35,0.8
