Team Name,Record,Pts,Pts/game
 
Florida,26-9-4,56,1.44
Tampa Bay,26-10-2,54,1.42
Carolina,25-9-3,53,1.43
Nashville,20-18-1,41,1.05
Chicago,17-17-5,39,1.0
Columbus,14-18-8,36,0.9
Dallas,13-13-10,36,1.0
Detroit,13-22-5,31,0.78
 
Washington,25-9-4,54,1.42
NY Islanders,24-10-4,52,1.37
Pittsburgh,24-12-2,50,1.32
Boston,19-10-6,44,1.26
Philadelphia,18-14-5,41,1.11
NY Rangers,17-15-5,39,1.05
New Jersey,13-17-6,32,0.89
Buffalo,8-23-6,22,0.59
 
Toronto,26-10-3,55,1.41
Winnipeg,23-13-3,49,1.26
Edmonton,23-14-2,48,1.23
Montreal,17-9-9,43,1.23
Calgary,16-21-3,35,0.88
Vancouver,16-18-3,35,0.95
Ottawa,13-22-4,30,0.77
 
Colorado,26-8-4,56,1.47
Vegas,25-10-2,52,1.41
Minnesota,23-12-2,48,1.3
Arizona,19-15-5,43,1.1
San Jose,17-16-4,38,1.03
St. Louis,16-16-6,38,1.0
Los Angeles,14-17-6,34,0.92
Anaheim,11-21-7,29,0.74
