Team Name,Record,Pts,Pts/game
 
Tampa Bay,24-7-2,50,1.52
Carolina,22-7-3,47,1.47
Florida,20-9-4,44,1.33
Chicago,16-13-5,37,1.09
Columbus,13-13-8,34,1.0
Nashville,16-17-1,33,0.97
Dallas,11-11-8,30,1.0
Detroit,10-20-4,24,0.71
 
NY Islanders,22-8-4,48,1.41
Washington,21-7-4,46,1.44
Pittsburgh,21-11-2,44,1.29
Boston,16-8-5,37,1.28
NY Rangers,15-13-4,34,1.06
Philadelphia,15-13-4,34,1.06
New Jersey,12-15-4,28,0.9
Buffalo,6-22-4,16,0.5
 
Toronto,21-10-2,44,1.33
Edmonton,21-13-0,42,1.24
Winnipeg,20-11-2,42,1.27
Montreal,14-8-9,37,1.19
Vancouver,16-18-3,35,0.95
Calgary,15-16-3,33,0.97
Ottawa,12-20-4,28,0.78
 
Colorado,21-8-3,45,1.41
Vegas,22-8-1,45,1.45
Minnesota,21-10-1,43,1.34
St. Louis,16-12-5,37,1.12
Arizona,14-14-5,33,1.0
Los Angeles,13-13-6,32,1.0
San Jose,13-14-4,30,0.97
Anaheim,9-19-6,24,0.71
