Team Name,Record,Pts,Pts/game
 
Carolina,32-10-7,71,1.45
Florida,32-14-5,69,1.35
Tampa Bay,33-14-2,68,1.39
Nashville,27-22-2,56,1.1
Dallas,21-16-12,54,1.1
Chicago,22-22-5,49,1.0
Detroit,17-25-9,43,0.84
Columbus,16-25-10,42,0.82
 
Washington,32-13-4,68,1.39
Pittsburgh,32-15-3,67,1.34
NY Islanders,29-15-5,63,1.29
Boston,28-14-6,62,1.29
NY Rangers,26-18-6,58,1.16
Philadelphia,22-20-7,51,1.04
New Jersey,15-27-7,37,0.76
Buffalo,13-30-7,33,0.66
 
Toronto,31-13-5,67,1.37
Edmonton,29-16-2,60,1.28
Winnipeg,27-19-3,57,1.16
Montreal,21-18-9,51,1.06
Calgary,21-24-3,45,0.94
Ottawa,19-27-4,42,0.84
Vancouver,19-21-3,41,0.95
 
Vegas,35-11-2,72,1.5
Colorado,31-12-4,66,1.4
Minnesota,31-14-3,65,1.35
St. Louis,22-19-6,50,1.06
Arizona,21-24-5,47,0.94
San Jose,20-24-5,45,0.92
Los Angeles,18-23-6,42,0.89
Anaheim,15-28-7,37,0.74
