Team Name,Record,Pts,Pts/game
 
Carolina,32-10-7,71,1.45
Florida,32-14-5,69,1.35
Tampa Bay,33-14-2,68,1.39
Nashville,27-22-2,56,1.1
Dallas,21-16-12,54,1.1
Chicago,22-22-5,49,1.0
Detroit,17-25-9,43,0.84
Columbus,16-25-10,42,0.82
 
Washington,32-13-4,68,1.39
Pittsburgh,32-15-3,67,1.34
NY Islanders,29-15-5,63,1.29
Boston,28-14-6,62,1.29
NY Rangers,26-18-6,58,1.16
Philadelphia,22-20-7,51,1.04
New Jersey,15-27-7,37,0.76
Buffalo,13-30-7,33,0.66
 
Toronto,30-13-5,65,1.35
Edmonton,28-16-2,58,1.26
Winnipeg,27-18-3,57,1.19
Montreal,21-17-9,51,1.09
Calgary,21-24-3,45,0.94
Vancouver,19-20-3,41,0.98
Ottawa,18-27-4,40,0.82
 
Vegas,34-11-2,70,1.49
Colorado,31-11-4,66,1.43
Minnesota,31-13-3,65,1.38
St. Louis,21-19-6,48,1.04
Arizona,21-23-5,47,0.96
San Jose,19-24-5,43,0.9
Los Angeles,18-22-6,42,0.91
Anaheim,14-28-7,35,0.71
