Team Name,Record,Pts,Pts/game
 
Carolina,38-12-8,84,1.45
Florida,37-16-5,79,1.36
Tampa Bay,38-17-3,79,1.36
Nashville,31-25-2,64,1.1
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Washington,37-15-7,81,1.37
Pittsburgh,38-16-4,80,1.38
Boston,35-16-8,78,1.32
NY Islanders,33-18-7,73,1.26
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,35-14-7,77,1.38
Edmonton,35-20-2,72,1.26
Winnipeg,31-23-3,65,1.14
Montreal,24-21-11,59,1.05
Calgary,26-27-3,55,0.98
Ottawa,23-28-5,51,0.91
Vancouver,23-29-4,50,0.89
 
Colorado,41-13-4,86,1.48
Vegas,41-14-3,85,1.47
Minnesota,36-17-5,77,1.33
St. Louis,27-22-9,63,1.09
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
