Team Name,Record,Pts,Pts/game
 
Carolina,29-10-5,63,1.43
Florida,29-12-5,63,1.37
Tampa Bay,30-13-2,62,1.38
Nashville,25-21-1,51,1.09
Dallas,18-14-12,48,1.09
Chicago,21-20-5,47,1.02
Columbus,15-23-9,39,0.83
Detroit,16-24-7,39,0.83
 
Washington,29-13-4,62,1.35
NY Islanders,28-13-4,60,1.33
Pittsburgh,28-14-3,59,1.31
Boston,25-12-6,56,1.3
NY Rangers,23-16-6,52,1.16
Philadelphia,20-18-7,47,1.04
New Jersey,14-24-6,34,0.77
Buffalo,12-26-7,31,0.69
 
Toronto,28-12-5,61,1.36
Winnipeg,27-15-3,57,1.27
Edmonton,27-15-2,56,1.27
Montreal,19-15-9,47,1.09
Calgary,19-23-3,41,0.91
Vancouver,17-18-3,37,0.97
Ottawa,16-26-4,36,0.78
 
Vegas,32-11-2,66,1.47
Colorado,30-9-4,64,1.49
Minnesota,28-13-3,59,1.34
Arizona,20-21-5,45,0.98
St. Louis,19-18-6,44,1.02
San Jose,18-22-5,41,0.91
Los Angeles,16-20-6,38,0.9
Anaheim,14-25-7,35,0.76
