Team Name,Record,Pts,Pts/game
 
Tampa Bay,24-8-2,50,1.47
Carolina,23-7-3,49,1.48
Florida,22-9-4,48,1.37
Chicago,16-15-5,37,1.03
Nashville,18-17-1,37,1.03
Columbus,13-15-8,34,0.94
Dallas,11-12-9,31,0.97
Detroit,12-20-4,28,0.78
 
Washington,23-7-4,50,1.47
NY Islanders,22-9-4,48,1.37
Pittsburgh,22-11-2,46,1.31
Boston,17-9-5,39,1.26
Philadelphia,16-13-4,36,1.09
NY Rangers,15-15-4,34,1.0
New Jersey,13-16-4,30,0.91
Buffalo,6-23-4,16,0.48
 
Toronto,22-10-2,46,1.35
Winnipeg,21-12-2,44,1.26
Edmonton,21-13-1,43,1.23
Montreal,14-8-9,37,1.19
Calgary,16-17-3,35,0.97
Vancouver,16-18-3,35,0.95
Ottawa,12-20-4,28,0.78
 
Vegas,23-8-1,47,1.47
Colorado,21-8-4,46,1.39
Minnesota,21-10-1,43,1.34
St. Louis,16-13-6,38,1.09
Arizona,16-14-5,37,1.06
Los Angeles,13-13-6,32,1.0
San Jose,13-16-4,30,0.91
Anaheim,11-19-6,28,0.78
