Team Name,Record,Pts,Pts/game
 
Carolina,31-10-7,69,1.44
Florida,31-14-5,67,1.34
Tampa Bay,32-14-2,66,1.38
Nashville,27-21-2,56,1.12
Dallas,21-15-12,54,1.12
Chicago,22-21-5,49,1.02
Detroit,17-25-8,42,0.84
Columbus,15-25-10,40,0.8
 
Pittsburgh,32-14-3,67,1.37
Washington,31-13-4,66,1.38
NY Islanders,29-14-5,63,1.31
Boston,27-14-6,60,1.28
NY Rangers,25-18-6,56,1.14
Philadelphia,22-19-7,51,1.06
New Jersey,14-27-7,35,0.73
Buffalo,13-29-7,33,0.67
 
Toronto,30-13-5,65,1.35
Edmonton,28-16-2,58,1.26
Winnipeg,27-18-3,57,1.19
Montreal,21-17-9,51,1.09
Calgary,21-24-3,45,0.94
Vancouver,19-20-3,41,0.98
Ottawa,18-27-4,40,0.82
 
Vegas,34-11-2,70,1.49
Colorado,31-11-4,66,1.43
Minnesota,31-13-3,65,1.38
St. Louis,21-19-6,48,1.04
Arizona,21-23-5,47,0.96
San Jose,19-24-5,43,0.9
Los Angeles,18-22-6,42,0.91
Anaheim,14-28-7,35,0.71
