Team Name,Record,Pts,Pts/game
 
Tampa Bay,17-4-2,36,1.57
Carolina,17-6-1,35,1.46
Florida,15-5-4,34,1.42
Chicago,13-8-5,31,1.19
Columbus,10-11-5,25,0.96
Nashville,11-14-0,22,0.88
Dallas,7-8-5,19,0.95
Detroit,7-16-3,17,0.65
 
NY Islanders,15-6-4,34,1.36
Washington,14-6-4,32,1.33
Boston,13-6-3,29,1.32
Pittsburgh,14-9-1,29,1.21
Philadelphia,12-7-3,27,1.23
NY Rangers,10-10-3,23,1.0
New Jersey,8-11-2,18,0.86
Buffalo,6-14-3,15,0.65
 
Toronto,18-6-2,38,1.46
Winnipeg,15-8-1,31,1.29
Edmonton,15-11-0,30,1.15
Montreal,11-6-6,28,1.22
Calgary,11-12-3,25,0.96
Vancouver,11-15-2,24,0.86
Ottawa,9-17-1,19,0.7
 
Vegas,16-4-1,33,1.57
St. Louis,14-8-3,31,1.24
Colorado,13-7-2,28,1.27
Minnesota,13-8-1,27,1.23
Arizona,11-10-3,25,1.04
Los Angeles,10-8-5,25,1.09
Anaheim,7-12-6,20,0.8
San Jose,8-11-3,19,0.86
