Team Name,Record,Pts,Pts/game
 
Carolina,29-10-4,62,1.44
Florida,28-12-5,61,1.36
Tampa Bay,29-13-2,60,1.36
Nashville,24-21-1,49,1.07
Chicago,21-19-5,47,1.04
Dallas,17-14-12,46,1.07
Columbus,15-22-9,39,0.85
Detroit,16-24-6,38,0.83
 
Washington,29-13-4,62,1.35
NY Islanders,28-13-4,60,1.33
Pittsburgh,28-14-3,59,1.31
Boston,25-12-6,56,1.3
NY Rangers,23-16-6,52,1.16
Philadelphia,20-18-7,47,1.04
New Jersey,14-24-6,34,0.77
Buffalo,12-26-7,31,0.69
 
Toronto,28-12-5,61,1.36
Winnipeg,27-15-3,57,1.27
Edmonton,26-15-2,54,1.26
Montreal,19-14-9,47,1.12
Calgary,19-22-3,41,0.93
Vancouver,17-18-3,37,0.97
Ottawa,15-26-4,34,0.76
 
Colorado,30-9-4,64,1.49
Vegas,31-11-2,64,1.45
Minnesota,27-13-3,57,1.33
Arizona,20-20-5,45,1.0
St. Louis,19-18-6,44,1.02
San Jose,18-22-4,40,0.91
Los Angeles,16-20-6,38,0.9
Anaheim,14-25-7,35,0.76
