Team Name,Record,Pts,Pts/game
 
Tampa Bay,23-6-2,48,1.55
Florida,20-7-4,44,1.42
Carolina,20-7-3,43,1.43
Chicago,14-13-5,33,1.03
Columbus,13-12-7,33,1.03
Nashville,14-17-1,29,0.91
Dallas,10-10-8,28,1.0
Detroit,10-18-4,24,0.75
 
NY Islanders,20-8-4,44,1.38
Washington,20-7-4,44,1.42
Pittsburgh,19-11-2,40,1.25
Boston,16-8-4,36,1.29
Philadelphia,15-11-3,33,1.14
NY Rangers,13-13-4,30,1.0
New Jersey,11-14-4,26,0.9
Buffalo,6-19-4,16,0.55
 
Edmonton,21-13-0,42,1.24
Toronto,20-10-2,42,1.31
Winnipeg,18-11-2,38,1.23
Montreal,14-8-9,37,1.19
Vancouver,16-16-3,35,1.0
Calgary,15-14-3,33,1.03
Ottawa,10-20-3,23,0.7
 
Vegas,21-7-1,43,1.48
Colorado,19-8-2,40,1.38
Minnesota,18-10-1,37,1.28
St. Louis,16-10-5,37,1.19
Los Angeles,13-11-6,32,1.07
Arizona,13-13-5,31,1.0
San Jose,11-14-4,26,0.9
Anaheim,9-17-6,24,0.75
