Team Name,Record,Pts,Pts/game
 
Carolina,29-10-4,62,1.44
Florida,28-12-5,61,1.36
Tampa Bay,29-13-2,60,1.36
Nashville,24-21-1,49,1.07
Chicago,21-19-5,47,1.04
Dallas,17-14-12,46,1.07
Columbus,15-22-9,39,0.85
Detroit,16-24-6,38,0.83
 
Washington,29-12-4,62,1.38
Pittsburgh,28-13-3,59,1.34
NY Islanders,27-13-4,58,1.32
Boston,24-12-6,54,1.29
NY Rangers,22-16-6,50,1.14
Philadelphia,20-18-6,46,1.05
New Jersey,14-23-6,34,0.79
Buffalo,11-26-7,29,0.66
 
Toronto,28-12-4,60,1.36
Winnipeg,27-15-3,57,1.27
Edmonton,26-15-2,54,1.26
Montreal,19-14-9,47,1.12
Calgary,19-22-3,41,0.93
Vancouver,16-18-3,35,0.95
Ottawa,15-26-4,34,0.76
 
Colorado,30-9-4,64,1.49
Vegas,30-11-2,62,1.44
Minnesota,27-13-3,57,1.33
Arizona,20-20-5,45,1.0
St. Louis,19-18-6,44,1.02
San Jose,18-22-4,40,0.91
Los Angeles,16-20-6,38,0.9
Anaheim,14-24-7,35,0.78
