Team Name,Record,Pts,Pts/game
 
Tampa Bay,16-4-2,34,1.55
Carolina,16-6-1,33,1.43
Florida,14-4-4,32,1.45
Chicago,13-7-5,31,1.24
Columbus,10-10-5,25,1.0
Nashville,10-13-0,20,0.87
Detroit,7-16-3,17,0.65
Dallas,6-8-4,16,0.89
 
NY Islanders,13-6-4,30,1.3
Washington,13-6-4,30,1.3
Boston,13-5-3,29,1.38
Philadelphia,12-5-3,27,1.35
Pittsburgh,12-9-1,25,1.14
NY Rangers,9-9-3,21,1.0
New Jersey,7-10-2,16,0.84
Buffalo,6-12-3,15,0.71
 
Toronto,18-5-2,38,1.52
Winnipeg,15-7-1,31,1.35
Edmonton,14-11-0,28,1.12
Montreal,10-6-6,26,1.18
Calgary,11-11-2,24,1.0
Vancouver,10-15-2,22,0.81
Ottawa,8-17-1,17,0.65
 
Vegas,15-4-1,31,1.55
St. Louis,14-8-2,30,1.25
Colorado,13-7-1,27,1.29
Minnesota,13-7-1,27,1.29
Arizona,10-10-3,23,1.0
Los Angeles,9-8-5,23,1.05
San Jose,8-10-3,19,0.9
Anaheim,6-12-6,18,0.75
