Team Name,Record,Pts,Pts/game
 
Carolina,16-6-1,33,1.43
Tampa Bay,16-4-1,33,1.57
Florida,14-4-4,32,1.45
Chicago,12-7-5,29,1.21
Columbus,10-10-5,25,1.0
Nashville,10-13-0,20,0.87
Detroit,7-16-3,17,0.65
Dallas,6-8-4,16,0.89
 
NY Islanders,13-6-4,30,1.3
Washington,13-5-4,30,1.36
Boston,12-5-3,27,1.35
Philadelphia,12-5-3,27,1.35
Pittsburgh,12-9-1,25,1.14
NY Rangers,9-9-3,21,1.0
New Jersey,7-10-2,16,0.84
Buffalo,6-12-3,15,0.71
 
Toronto,18-5-2,38,1.52
Winnipeg,15-7-1,31,1.35
Edmonton,14-11-0,28,1.12
Montreal,10-6-6,26,1.18
Calgary,11-11-2,24,1.0
Vancouver,10-15-2,22,0.81
Ottawa,8-17-1,17,0.65
 
Vegas,14-4-1,29,1.53
St. Louis,13-8-2,28,1.22
Colorado,12-7-1,25,1.25
Minnesota,12-7-1,25,1.25
Arizona,10-9-3,23,1.05
Los Angeles,9-8-4,22,1.05
San Jose,8-10-2,18,0.9
Anaheim,6-12-5,17,0.74
