Team Name,Record,Pts,Pts/game
 
Carolina,19-6-1,39,1.5
Florida,17-5-4,38,1.46
Tampa Bay,18-5-2,38,1.52
Chicago,14-9-5,33,1.18
Columbus,10-12-6,26,0.93
Nashville,11-15-1,23,0.85
Dallas,8-9-5,21,0.95
Detroit,8-16-4,20,0.71
 
NY Islanders,17-6-4,38,1.41
Washington,16-6-4,36,1.38
Pittsburgh,16-9-1,33,1.27
Boston,14-6-4,32,1.33
Philadelphia,13-8-3,29,1.21
NY Rangers,10-12-3,23,0.92
New Jersey,8-12-3,19,0.83
Buffalo,6-15-4,16,0.64
 
Toronto,19-7-2,40,1.43
Edmonton,18-11-0,36,1.24
Winnipeg,16-8-2,34,1.31
Montreal,12-7-7,31,1.19
Calgary,12-12-3,27,1.0
Vancouver,12-16-2,26,0.87
Ottawa,9-20-1,19,0.63
 
Vegas,17-6-1,35,1.46
Minnesota,16-8-1,33,1.32
St. Louis,14-8-5,33,1.22
Colorado,15-8-2,32,1.28
Arizona,12-11-4,28,1.04
Los Angeles,11-9-6,28,1.08
San Jose,10-11-3,23,0.96
Anaheim,8-14-6,22,0.79
