Team Name,Record,Pts,Pts/game
 
Florida,24-9-4,52,1.41
Tampa Bay,25-9-2,52,1.44
Carolina,24-8-3,51,1.46
Chicago,17-16-5,39,1.03
Nashville,19-18-1,39,1.03
Columbus,14-16-8,36,0.95
Dallas,12-12-10,34,1.0
Detroit,12-21-5,29,0.76
 
Washington,24-9-4,52,1.41
NY Islanders,23-10-4,50,1.35
Pittsburgh,24-11-2,50,1.35
Boston,18-10-5,41,1.24
NY Rangers,17-15-4,38,1.06
Philadelphia,17-14-4,38,1.09
New Jersey,13-16-6,32,0.91
Buffalo,7-23-6,20,0.56
 
Toronto,24-10-3,51,1.38
Edmonton,23-14-1,47,1.24
Winnipeg,22-13-3,47,1.24
Montreal,16-8-9,41,1.24
Calgary,16-19-3,35,0.92
Vancouver,16-18-3,35,0.95
Ottawa,12-21-4,28,0.76
 
Colorado,24-8-4,52,1.44
Vegas,24-9-2,50,1.43
Minnesota,22-11-2,46,1.31
Arizona,17-15-5,39,1.05
St. Louis,16-14-6,38,1.06
San Jose,16-16-4,36,1.0
Los Angeles,14-15-6,34,0.97
Anaheim,11-21-6,28,0.74
