Team Name,Record,Pts,Pts/game
 
Carolina,20-6-1,41,1.52
Florida,18-5-4,40,1.48
Tampa Bay,19-5-2,40,1.54
Chicago,14-10-5,33,1.14
Columbus,11-12-7,29,0.97
Dallas,9-9-6,24,1.0
Nashville,11-16-1,23,0.82
Detroit,8-17-4,20,0.69
 
NY Islanders,19-6-4,42,1.45
Washington,17-6-4,38,1.41
Pittsburgh,17-9-1,35,1.3
Boston,14-7-4,32,1.28
Philadelphia,13-9-3,29,1.16
NY Rangers,11-12-3,25,0.96
New Jersey,8-13-4,20,0.8
Buffalo,6-16-4,16,0.62
 
Toronto,19-9-2,40,1.33
Edmonton,18-12-0,36,1.2
Winnipeg,17-8-2,36,1.33
Montreal,12-8-7,31,1.15
Calgary,13-12-3,29,1.04
Vancouver,13-16-2,28,0.9
Ottawa,10-20-1,21,0.68
 
Vegas,18-6-1,37,1.48
Minnesota,17-8-1,35,1.35
Colorado,16-8-2,34,1.31
St. Louis,14-9-5,33,1.18
Arizona,12-12-4,28,1.0
Los Angeles,11-10-6,28,1.04
San Jose,11-11-3,25,1.0
Anaheim,8-15-6,22,0.76
