Team Name,Record,Pts,Pts/game
 
Florida,19-5-4,42,1.5
Carolina,20-6-1,41,1.52
Tampa Bay,19-6-2,40,1.48
Chicago,14-11-5,33,1.1
Columbus,11-12-7,29,0.97
Nashville,12-16-1,25,0.86
Dallas,9-9-6,24,1.0
Detroit,8-17-4,20,0.69
 
NY Islanders,19-6-4,42,1.45
Washington,18-6-4,40,1.43
Pittsburgh,18-9-1,37,1.32
Boston,14-8-4,32,1.23
Philadelphia,14-9-3,31,1.19
NY Rangers,11-12-4,26,0.96
New Jersey,8-13-4,20,0.8
Buffalo,6-17-4,16,0.59
 
Toronto,19-9-2,40,1.33
Edmonton,18-13-0,36,1.16
Winnipeg,17-9-2,36,1.29
Montreal,13-8-7,33,1.18
Calgary,14-12-3,31,1.07
Vancouver,14-16-2,30,0.94
Ottawa,10-20-2,22,0.69
 
Vegas,19-6-1,39,1.5
Minnesota,17-8-1,35,1.35
Colorado,16-8-2,34,1.31
St. Louis,14-9-5,33,1.18
Arizona,12-12-4,28,1.0
Los Angeles,11-10-6,28,1.04
San Jose,11-12-3,25,0.96
Anaheim,8-15-6,22,0.76
