Team Name,Record,Pts,Pts/game
 
Tampa Bay,24-6-2,50,1.56
Carolina,21-7-3,45,1.45
Florida,20-8-4,44,1.38
Chicago,15-13-5,35,1.06
Columbus,13-13-7,33,1.0
Nashville,15-17-1,31,0.94
Dallas,10-11-8,28,0.97
Detroit,10-19-4,24,0.73
 
NY Islanders,21-8-4,46,1.39
Washington,20-7-4,44,1.42
Pittsburgh,20-11-2,42,1.27
Boston,16-8-4,36,1.29
Philadelphia,15-12-4,34,1.1
NY Rangers,14-13-4,32,1.03
New Jersey,12-14-4,28,0.93
Buffalo,6-21-4,16,0.52
 
Edmonton,21-13-0,42,1.24
Toronto,20-10-2,42,1.31
Winnipeg,20-11-2,42,1.27
Montreal,14-8-9,37,1.19
Vancouver,16-18-3,35,0.95
Calgary,15-16-3,33,0.97
Ottawa,12-20-3,27,0.77
 
Vegas,22-7-1,45,1.5
Colorado,20-8-3,43,1.39
Minnesota,20-10-1,41,1.32
St. Louis,16-11-5,37,1.16
Arizona,14-14-5,33,1.0
Los Angeles,13-13-6,32,1.0
San Jose,13-14-4,30,0.97
Anaheim,9-19-6,24,0.71
