Team Name,Record,Pts,Pts/game
 
Florida,24-9-4,52,1.41
Tampa Bay,25-9-2,52,1.44
Carolina,24-8-3,51,1.46
Chicago,17-16-5,39,1.03
Nashville,19-18-1,39,1.03
Columbus,14-16-8,36,0.95
Dallas,12-12-10,34,1.0
Detroit,12-21-5,29,0.76
 
NY Islanders,23-10-4,50,1.35
Pittsburgh,24-11-2,50,1.35
Washington,23-9-4,50,1.39
Boston,18-10-5,41,1.24
NY Rangers,17-15-4,38,1.06
Philadelphia,17-14-4,38,1.09
New Jersey,13-16-5,31,0.91
Buffalo,7-23-6,20,0.56
 
Toronto,23-10-3,49,1.36
Winnipeg,22-13-2,46,1.24
Edmonton,22-14-1,45,1.22
Montreal,16-8-9,41,1.24
Calgary,16-18-3,35,0.95
Vancouver,16-18-3,35,0.95
Ottawa,12-21-4,28,0.76
 
Colorado,23-8-4,50,1.43
Vegas,24-9-2,50,1.43
Minnesota,22-11-2,46,1.31
St. Louis,16-13-6,38,1.09
Arizona,16-15-5,37,1.03
Los Angeles,14-14-6,34,1.0
San Jose,15-16-4,34,0.97
Anaheim,11-20-6,28,0.76
