Team Name,Record,Pts,Pts/game
 
Carolina,37-12-8,82,1.44
Florida,37-16-5,79,1.36
Tampa Bay,38-17-3,79,1.36
Nashville,31-24-2,64,1.12
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Pittsburgh,38-16-4,80,1.38
Washington,37-15-6,80,1.38
Boston,34-16-8,76,1.31
NY Islanders,33-18-7,73,1.26
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,35-14-7,77,1.38
Edmonton,35-19-2,72,1.29
Winnipeg,30-23-3,63,1.12
Montreal,24-21-11,59,1.05
Calgary,25-27-3,53,0.96
Ottawa,23-28-5,51,0.91
Vancouver,23-28-4,50,0.91
 
Vegas,41-14-3,85,1.47
Colorado,40-13-4,84,1.47
Minnesota,36-17-5,77,1.33
St. Louis,27-21-9,63,1.11
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
