Team Name,Record,Pts,Pts/game
 
Carolina,27-10-4,58,1.41
Florida,27-12-4,58,1.35
Tampa Bay,28-12-2,58,1.38
Nashville,24-19-1,49,1.11
Chicago,20-18-5,45,1.05
Dallas,15-14-12,42,1.02
Columbus,15-20-9,39,0.89
Detroit,15-23-6,36,0.82
 
Washington,28-11-4,60,1.4
NY Islanders,27-11-4,58,1.38
Pittsburgh,27-13-2,56,1.33
Boston,22-12-6,50,1.25
NY Rangers,20-16-6,46,1.1
Philadelphia,19-17-6,44,1.05
New Jersey,14-21-6,34,0.83
Buffalo,10-25-7,27,0.64
 
Toronto,28-11-4,60,1.4
Winnipeg,26-14-3,55,1.28
Edmonton,25-15-2,52,1.24
Montreal,18-13-9,45,1.12
Calgary,19-21-3,41,0.95
Vancouver,16-18-3,35,0.95
Ottawa,14-26-4,32,0.73
 
Colorado,30-9-4,64,1.49
Vegas,29-11-2,60,1.43
Minnesota,25-13-3,53,1.29
St. Louis,19-17-6,44,1.05
Arizona,19-20-5,43,0.98
San Jose,18-20-4,40,0.95
Los Angeles,16-20-6,38,0.9
Anaheim,14-23-7,35,0.8
