Team Name,Record,Pts,Pts/game
 
Carolina,34-10-7,75,1.47
Florida,34-14-5,73,1.38
Tampa Bay,34-14-3,71,1.39
Nashville,28-22-2,58,1.12
Dallas,21-17-13,55,1.08
Chicago,22-23-6,50,0.98
Detroit,18-26-9,45,0.85
Columbus,16-25-11,43,0.83
 
Pittsburgh,34-15-3,71,1.37
Washington,32-14-5,69,1.35
NY Islanders,31-15-5,67,1.31
Boston,30-14-6,66,1.32
NY Rangers,26-20-6,58,1.12
Philadelphia,22-22-7,51,1.0
New Jersey,17-27-7,41,0.8
Buffalo,13-32-7,33,0.63
 
Toronto,33-13-5,71,1.39
Edmonton,30-17-2,62,1.27
Winnipeg,27-20-3,57,1.14
Montreal,23-18-9,55,1.1
Calgary,22-25-3,47,0.94
Ottawa,19-27-5,43,0.84
Vancouver,19-23-3,41,0.91
 
Vegas,36-12-2,74,1.48
Colorado,33-12-4,70,1.43
Minnesota,32-14-4,68,1.36
St. Louis,23-19-7,53,1.08
Arizona,22-24-6,50,0.96
San Jose,20-26-5,45,0.88
Los Angeles,19-24-6,44,0.9
Anaheim,16-29-7,39,0.75
