Team Name,Record,Pts,Pts/game
 
Carolina,15-6-1,31,1.41
Tampa Bay,15-4-1,31,1.55
Florida,13-4-4,30,1.43
Chicago,12-7-4,28,1.22
Columbus,9-10-5,23,0.96
Nashville,10-12-0,20,0.91
Detroit,7-15-3,17,0.68
Dallas,6-7-4,16,0.94
 
NY Islanders,12-6-4,28,1.27
Washington,12-5-4,28,1.33
Boston,12-5-2,26,1.37
Philadelphia,11-5-3,25,1.32
Pittsburgh,12-8-1,25,1.19
NY Rangers,8-9-3,19,0.95
New Jersey,7-9-2,16,0.89
Buffalo,6-11-3,15,0.75
 
Toronto,17-4-2,36,1.57
Winnipeg,14-7-1,29,1.32
Edmonton,14-10-0,28,1.17
Montreal,10-6-5,25,1.19
Calgary,10-11-2,22,0.96
Vancouver,9-15-2,20,0.77
Ottawa,8-16-1,17,0.68
 
Vegas,13-4-1,27,1.5
St. Louis,12-8-2,26,1.18
Minnesota,12-6-1,25,1.32
Colorado,11-7-1,23,1.21
Los Angeles,9-7-4,22,1.1
Arizona,9-9-3,21,1.0
San Jose,8-9-2,18,0.95
Anaheim,6-11-5,17,0.77
