Team Name,Record,Pts,Pts/game
 
Carolina,38-12-9,85,1.44
Tampa Bay,39-17-4,82,1.37
Florida,38-17-5,81,1.35
Nashville,32-25-2,66,1.12
Dallas,23-19-14,60,1.07
Chicago,24-25-7,55,0.98
Columbus,18-26-12,48,0.86
Detroit,19-27-10,48,0.86
 
Pittsburgh,39-17-4,82,1.37
Washington,37-16-7,81,1.35
Boston,36-16-8,80,1.33
NY Islanders,34-19-7,75,1.25
NY Rangers,27-23-6,60,1.07
Philadelphia,25-23-8,58,1.04
New Jersey,19-30-7,45,0.8
Buffalo,15-34-7,37,0.66
 
Toronto,36-15-7,79,1.36
Edmonton,35-20-3,73,1.26
Winnipeg,32-23-3,67,1.16
Montreal,25-22-11,61,1.05
Calgary,26-27-3,55,0.98
Ottawa,23-28-5,51,0.91
Vancouver,23-29-4,50,0.89
 
Vegas,43-14-3,89,1.48
Colorado,42-13-4,88,1.49
Minnesota,36-19-5,77,1.28
St. Louis,27-23-9,63,1.07
Arizona,24-26-6,54,0.96
Los Angeles,21-28-7,49,0.88
San Jose,21-28-7,49,0.88
Anaheim,17-30-9,43,0.77
