Team Name,Record,Pts,Pts/game
 
Florida,23-9-4,50,1.39
Tampa Bay,24-9-2,50,1.43
Carolina,23-8-3,49,1.44
Chicago,17-15-5,39,1.05
Nashville,19-17-1,39,1.05
Columbus,14-15-8,36,0.97
Dallas,11-12-10,32,0.97
Detroit,12-21-4,28,0.76
 
Washington,23-8-4,50,1.43
NY Islanders,22-10-4,48,1.33
Pittsburgh,23-11-2,48,1.33
Boston,18-9-5,41,1.28
Philadelphia,17-13-4,38,1.12
NY Rangers,16-15-4,36,1.03
New Jersey,13-16-5,31,0.91
Buffalo,6-23-5,17,0.5
 
Toronto,22-10-3,47,1.34
Winnipeg,22-12-2,46,1.28
Edmonton,22-14-1,45,1.22
Montreal,15-8-9,39,1.22
Calgary,16-18-3,35,0.95
Vancouver,16-18-3,35,0.95
Ottawa,12-20-4,28,0.78
 
Vegas,24-8-1,49,1.48
Colorado,22-8-4,48,1.41
Minnesota,21-10-2,44,1.33
St. Louis,16-13-6,38,1.09
Arizona,16-14-5,37,1.06
Los Angeles,13-14-6,32,0.97
San Jose,14-16-4,32,0.94
Anaheim,11-20-6,28,0.76
